Account ID	Account Name	Row	Access	Project Year	Energy Source	Percent
68385	Municipio de Chorrera	1	Public	2017	Coal	
68385	Municipio de Chorrera	2	Public	2017	Gas	
68385	Municipio de Chorrera	3	Public	2017	Oil	
68385	Municipio de Chorrera	4	Public	2017	Nuclear	
68385	Municipio de Chorrera	5	Public	2017	Hydro	
68385	Municipio de Chorrera	6	Public	2017	Biomass	
68385	Municipio de Chorrera	7	Public	2017	Wind	
68385	Municipio de Chorrera	8	Public	2017	Geothermal	100
68385	Municipio de Chorrera	9	Public	2017	Solar	
68385	Municipio de Chorrera	10	Public	2017	Unknown sources	
63999	"City of Miami Beach, FL"	1	Public	2017	Coal	22
63999	"City of Miami Beach, FL"	2	Public	2017	Gas	61.4
63999	"City of Miami Beach, FL"	3	Public	2017	Oil	0.9
63999	"City of Miami Beach, FL"	4	Public	2017	Nuclear	12.7
63999	"City of Miami Beach, FL"	5	Public	2017	Hydro	0.1
63999	"City of Miami Beach, FL"	6	Public	2017	Biomass	2
63999	"City of Miami Beach, FL"	7	Public	2017	Wind	0
63999	"City of Miami Beach, FL"	8	Public	2017	Geothermal	0
63999	"City of Miami Beach, FL"	9	Public	2017	Solar	0.1
63999	"City of Miami Beach, FL"	10	Public	2017	Unknown sources	0.7
62845	Jinja Municipal Council	1	Public	2017	Coal	1
62845	Jinja Municipal Council	2	Public	2017	Gas	26.33
62845	Jinja Municipal Council	3	Public	2017	Oil	1
62845	Jinja Municipal Council	4	Public	2017	Nuclear	0
62845	Jinja Municipal Council	5	Public	2017	Hydro	14
62845	Jinja Municipal Council	6	Public	2017	Biomass	48
62845	Jinja Municipal Council	7	Public	2017	Wind	0
62845	Jinja Municipal Council	8	Public	2017	Geothermal	0
62845	Jinja Municipal Council	9	Public	2017	Solar	0
62845	Jinja Municipal Council	10	Public	2017	Unknown sources	
62864	"City of Lancaster, PA"	1	Public	2017	Coal	23
62864	"City of Lancaster, PA"	2	Public	2017	Gas	30.7
62864	"City of Lancaster, PA"	3	Public	2017	Oil	0.7
62864	"City of Lancaster, PA"	4	Public	2017	Nuclear	40.5
62864	"City of Lancaster, PA"	5	Public	2017	Hydro	1.2
62864	"City of Lancaster, PA"	6	Public	2017	Biomass	
62864	"City of Lancaster, PA"	7	Public	2017	Wind	
62864	"City of Lancaster, PA"	8	Public	2017	Geothermal	
62864	"City of Lancaster, PA"	9	Public	2017	Solar	
62864	"City of Lancaster, PA"	10	Public	2017	Unknown sources	2.8
61753	Yilan County Government	1	Public	2017	Coal	71.3
61753	Yilan County Government	2	Public	2017	Gas	
61753	Yilan County Government	3	Public	2017	Oil	
61753	Yilan County Government	4	Public	2017	Nuclear	12.5
61753	Yilan County Government	5	Public	2017	Hydro	6.3
61753	Yilan County Government	6	Public	2017	Biomass	
61753	Yilan County Government	7	Public	2017	Wind	4.8
61753	Yilan County Government	8	Public	2017	Geothermal	
61753	Yilan County Government	9	Public	2017	Solar	5
61753	Yilan County Government	10	Public	2017	Unknown sources	
61790	"City of Emeryville, CA"	1	Public	2017	Coal	0
61790	"City of Emeryville, CA"	2	Public	2017	Gas	23
61790	"City of Emeryville, CA"	3	Public	2017	Oil	21
61790	"City of Emeryville, CA"	4	Public	2017	Nuclear	21
61790	"City of Emeryville, CA"	5	Public	2017	Hydro	9
61790	"City of Emeryville, CA"	6	Public	2017	Biomass	5
61790	"City of Emeryville, CA"	7	Public	2017	Wind	7
61790	"City of Emeryville, CA"	8	Public	2017	Geothermal	5
61790	"City of Emeryville, CA"	9	Public	2017	Solar	9
61790	"City of Emeryville, CA"	10	Public	2017	Unknown sources	
61876	Mazabuka Municipal Council	1	Public	2017	Coal	20
61876	Mazabuka Municipal Council	2	Public	2017	Gas	20
61876	Mazabuka Municipal Council	3	Public	2017	Oil	
61876	Mazabuka Municipal Council	4	Public	2017	Nuclear	
61876	Mazabuka Municipal Council	5	Public	2017	Hydro	40
61876	Mazabuka Municipal Council	6	Public	2017	Biomass	
61876	Mazabuka Municipal Council	7	Public	2017	Wind	
61876	Mazabuka Municipal Council	8	Public	2017	Geothermal	
61876	Mazabuka Municipal Council	9	Public	2017	Solar	20
61876	Mazabuka Municipal Council	10	Public	2017	Unknown sources	
60433	City of Hvidovre	1	Public	2017	Coal	
60433	City of Hvidovre	2	Public	2017	Gas	
60433	City of Hvidovre	3	Public	2017	Oil	
60433	City of Hvidovre	4	Public	2017	Nuclear	0
60433	City of Hvidovre	5	Public	2017	Hydro	0
60433	City of Hvidovre	6	Public	2017	Biomass	
60433	City of Hvidovre	7	Public	2017	Wind	23
60433	City of Hvidovre	8	Public	2017	Geothermal	0
60433	City of Hvidovre	9	Public	2017	Solar	2
60433	City of Hvidovre	10	Public	2017	Unknown sources	75
50680	Cascais	1	Public	2017	Coal	7
50680	Cascais	2	Public	2017	Gas	1
50680	Cascais	3	Public	2017	Oil	10
50680	Cascais	4	Public	2017	Nuclear	2
50680	Cascais	5	Public	2017	Hydro	13
50680	Cascais	6	Public	2017	Biomass	2
50680	Cascais	7	Public	2017	Wind	52
50680	Cascais	8	Public	2017	Geothermal	
50680	Cascais	9	Public	2017	Solar	6
50680	Cascais	10	Public	2017	Unknown sources	
59151	City of Akureyri	1	Public	2017	Coal	0
59151	City of Akureyri	2	Public	2017	Gas	0
59151	City of Akureyri	3	Public	2017	Oil	0
59151	City of Akureyri	4	Public	2017	Nuclear	0
59151	City of Akureyri	5	Public	2017	Hydro	70
59151	City of Akureyri	6	Public	2017	Biomass	0
59151	City of Akureyri	7	Public	2017	Wind	0
59151	City of Akureyri	8	Public	2017	Geothermal	30
59151	City of Akureyri	9	Public	2017	Solar	0
59151	City of Akureyri	10	Public	2017	Unknown sources	
50650	City of Gibraltar	1	Public	2017	Coal	
50650	City of Gibraltar	2	Public	2017	Gas	
50650	City of Gibraltar	3	Public	2017	Oil	99.8
50650	City of Gibraltar	4	Public	2017	Nuclear	
50650	City of Gibraltar	5	Public	2017	Hydro	
50650	City of Gibraltar	6	Public	2017	Biomass	
50650	City of Gibraltar	7	Public	2017	Wind	
50650	City of Gibraltar	8	Public	2017	Geothermal	
50650	City of Gibraltar	9	Public	2017	Solar	0.2
50650	City of Gibraltar	10	Public	2017	Unknown sources	
8242	City of Helsinki	1	Public	2017	Coal	21.9
8242	City of Helsinki	2	Public	2017	Gas	46
8242	City of Helsinki	3	Public	2017	Oil	
8242	City of Helsinki	4	Public	2017	Nuclear	21
8242	City of Helsinki	5	Public	2017	Hydro	11
8242	City of Helsinki	6	Public	2017	Biomass	
8242	City of Helsinki	7	Public	2017	Wind	0.1
8242	City of Helsinki	8	Public	2017	Geothermal	
8242	City of Helsinki	9	Public	2017	Solar	
8242	City of Helsinki	10	Public	2017	Unknown sources	
36036	City of Ibadan	1	Public	2017	Coal	0
36036	City of Ibadan	2	Public	2017	Gas	0
36036	City of Ibadan	3	Public	2017	Oil	0
36036	City of Ibadan	4	Public	2017	Nuclear	0
36036	City of Ibadan	5	Public	2017	Hydro	0
