Account ID,Account Name,Row,Access,Project Year,Energy Source,Percent
69823,Visby,1,Public,2017,Coal,
69823,Visby,2,Public,2017,Gas,
69823,Visby,3,Public,2017,Oil,
69823,Visby,4,Public,2017,Nuclear,
69823,Visby,5,Public,2017,Hydro,
69823,Visby,6,Public,2017,Biomass,
69823,Visby,7,Public,2017,Wind,
69823,Visby,8,Public,2017,Geothermal,
69823,Visby,9,Public,2017,Solar,
69823,Visby,10,Public,2017,Unknown sources,
68378,Municipalidad de Santiago de Surco,1,Public,2017,Coal,
68378,Municipalidad de Santiago de Surco,2,Public,2017,Gas,
68378,Municipalidad de Santiago de Surco,3,Public,2017,Oil,
68378,Municipalidad de Santiago de Surco,4,Public,2017,Nuclear,
68378,Municipalidad de Santiago de Surco,5,Public,2017,Hydro,
68378,Municipalidad de Santiago de Surco,6,Public,2017,Biomass,
68378,Municipalidad de Santiago de Surco,7,Public,2017,Wind,
68378,Municipalidad de Santiago de Surco,8,Public,2017,Geothermal,
68378,Municipalidad de Santiago de Surco,9,Public,2017,Solar,
68378,Municipalidad de Santiago de Surco,10,Public,2017,Unknown sources,
68385,Municipio de Chorrera,1,Public,2017,Coal,
68385,Municipio de Chorrera,2,Public,2017,Gas,
68385,Municipio de Chorrera,3,Public,2017,Oil,
68385,Municipio de Chorrera,4,Public,2017,Nuclear,
68385,Municipio de Chorrera,5,Public,2017,Hydro,
68385,Municipio de Chorrera,6,Public,2017,Biomass,
68385,Municipio de Chorrera,7,Public,2017,Wind,
68385,Municipio de Chorrera,8,Public,2017,Geothermal,100
68385,Municipio de Chorrera,9,Public,2017,Solar,
68385,Municipio de Chorrera,10,Public,2017,Unknown sources,
68387,Prefeitura de Miracema,1,Public,2017,Coal,
68387,Prefeitura de Miracema,2,Public,2017,Gas,
68387,Prefeitura de Miracema,3,Public,2017,Oil,
68387,Prefeitura de Miracema,4,Public,2017,Nuclear,
68387,Prefeitura de Miracema,5,Public,2017,Hydro,
68387,Prefeitura de Miracema,6,Public,2017,Biomass,
68387,Prefeitura de Miracema,7,Public,2017,Wind,
68387,Prefeitura de Miracema,8,Public,2017,Geothermal,
68387,Prefeitura de Miracema,9,Public,2017,Solar,
68387,Prefeitura de Miracema,10,Public,2017,Unknown sources,
63999,"City of Miami Beach, FL",1,Public,2017,Coal,22
63999,"City of Miami Beach, FL",2,Public,2017,Gas,61.4
63999,"City of Miami Beach, FL",3,Public,2017,Oil,0.9
63999,"City of Miami Beach, FL",4,Public,2017,Nuclear,12.7
63999,"City of Miami Beach, FL",5,Public,2017,Hydro,0.1
63999,"City of Miami Beach, FL",6,Public,2017,Biomass,2
63999,"City of Miami Beach, FL",7,Public,2017,Wind,0
63999,"City of Miami Beach, FL",8,Public,2017,Geothermal,0
63999,"City of Miami Beach, FL",9,Public,2017,Solar,0.1
63999,"City of Miami Beach, FL",10,Public,2017,Unknown sources,0.7
62845,Jinja Municipal Council,1,Public,2017,Coal,1
62845,Jinja Municipal Council,2,Public,2017,Gas,26.33
62845,Jinja Municipal Council,3,Public,2017,Oil,1
62845,Jinja Municipal Council,4,Public,2017,Nuclear,0
62845,Jinja Municipal Council,5,Public,2017,Hydro,14
62845,Jinja Municipal Council,6,Public,2017,Biomass,48
62845,Jinja Municipal Council,7,Public,2017,Wind,0
62845,Jinja Municipal Council,8,Public,2017,Geothermal,0
62845,Jinja Municipal Council,9,Public,2017,Solar,0
62845,Jinja Municipal Council,10,Public,2017,Unknown sources,
62864,"City of Lancaster, PA",1,Public,2017,Coal,23
62864,"City of Lancaster, PA",2,Public,2017,Gas,30.7
62864,"City of Lancaster, PA",3,Public,2017,Oil,0.7
62864,"City of Lancaster, PA",4,Public,2017,Nuclear,40.5
62864,"City of Lancaster, PA",5,Public,2017,Hydro,1.2
62864,"City of Lancaster, PA",6,Public,2017,Biomass,
62864,"City of Lancaster, PA",7,Public,2017,Wind,
62864,"City of Lancaster, PA",8,Public,2017,Geothermal,
62864,"City of Lancaster, PA",9,Public,2017,Solar,
62864,"City of Lancaster, PA",10,Public,2017,Unknown sources,2.8
61753,Yilan County Government,1,Public,2017,Coal,71.3
61753,Yilan County Government,2,Public,2017,Gas,
61753,Yilan County Government,3,Public,2017,Oil,
61753,Yilan County Government,4,Public,2017,Nuclear,12.5
61753,Yilan County Government,5,Public,2017,Hydro,6.3
61753,Yilan County Government,6,Public,2017,Biomass,
61753,Yilan County Government,7,Public,2017,Wind,4.8
61753,Yilan County Government,8,Public,2017,Geothermal,
61753,Yilan County Government,9,Public,2017,Solar,5
61753,Yilan County Government,10,Public,2017,Unknown sources,
61790,"City of Emeryville, CA",1,Public,2017,Coal,0
61790,"City of Emeryville, CA",2,Public,2017,Gas,23
61790,"City of Emeryville, CA",3,Public,2017,Oil,21
61790,"City of Emeryville, CA",4,Public,2017,Nuclear,21
61790,"City of Emeryville, CA",5,Public,2017,Hydro,9
61790,"City of Emeryville, CA",6,Public,2017,Biomass,5
61790,"City of Emeryville, CA",7,Public,2017,Wind,7
61790,"City of Emeryville, CA",8,Public,2017,Geothermal,5
61790,"City of Emeryville, CA",9,Public,2017,Solar,9
61790,"City of Emeryville, CA",10,Public,2017,Unknown sources,
61876,Mazabuka Municipal Council,1,Public,2017,Coal,20
61876,Mazabuka Municipal Council,2,Public,2017,Gas,20
61876,Mazabuka Municipal Council,3,Public,2017,Oil,
61876,Mazabuka Municipal Council,4,Public,2017,Nuclear,
61876,Mazabuka Municipal Council,5,Public,2017,Hydro,40
61876,Mazabuka Municipal Council,6,Public,2017,Biomass,
61876,Mazabuka Municipal Council,7,Public,2017,Wind,
61876,Mazabuka Municipal Council,8,Public,2017,Geothermal,
61876,Mazabuka Municipal Council,9,Public,2017,Solar,20
61876,Mazabuka Municipal Council,10,Public,2017,Unknown sources,
62180,Communauté urbaine du Grand Nancy,1,Public,2017,Coal,
62180,Communauté urbaine du Grand Nancy,2,Public,2017,Gas,
62180,Communauté urbaine du Grand Nancy,3,Public,2017,Oil,
62180,Communauté urbaine du Grand Nancy,4,Public,2017,Nuclear,
62180,Communauté urbaine du Grand Nancy,5,Public,2017,Hydro,
62180,Communauté urbaine du Grand Nancy,6,Public,2017,Biomass,
62180,Communauté urbaine du Grand Nancy,7,Public,2017,Wind,
62180,Communauté urbaine du Grand Nancy,8,Public,2017,Geothermal,
62180,Communauté urbaine du Grand Nancy,9,Public,2017,Solar,
62180,Communauté urbaine du Grand Nancy,10,Public,2017,Unknown sources,
