,Year,AccountNum,AccountName,Coal,Gas,Oil,Nuclear,Hydro,Bioenergy,Wind,Geothemal,Solar,Other,NonRenewable,Reneweable,Total
0,2018,54119,City of Palo Alto,0.0,0.0,0.0,0.0,40.0,11.0,11.0,0.0,17.0,21.0,0.0,1.0,100.0
1,2018,16581,City of Seattle,1.0,1.0,0.0,5.0,88.0,1.0,4.0,0.0,0.0,0.0,0.07,0.93,100.0
2,2018,54026,City of Tacoma,1.5,1.0,0.0,6.0,84.0,0.0,7.0,0.0,0.0,0.5,0.085,0.915,100.0
3,2018,54070,City of Eugene,0.0,0.0,0.0,8.8,87.4,0.0,0.8,0.0,0.0,3.0,0.08800000000000001,0.912,100.0
4,2018,54110,City of Santa Monica,0.0,19.0,0.0,6.0,6.0,1.0,10.0,7.0,10.0,41.0,0.25,0.75,100.0
6,2018,50551,City of Long Beach,0.0,20.0,0.0,6.0,9.0,0.0,10.0,8.0,13.0,34.0,0.26,0.74,100.0
7,2018,31182,City of San Francisco,0.0,13.52,0.0,17.95,33.96,2.99,7.64,3.74,9.73,10.47,0.3147,0.6853,100.0
9,2018,35883,City of San José,0.0,17.0,0.0,24.0,15.0,4.0,8.0,5.0,13.0,14.0,0.41,0.59,100.0
11,2018,59633,City of Santa Cruz,0.0,17.0,0.0,24.0,12.0,4.0,8.0,5.0,13.0,17.0,0.41,0.59,100.0
13,2018,61790,City of Emeryville,0.0,23.0,0.0,21.0,8.0,0.0,0.0,0.0,27.0,21.0,0.44,0.56,100.0
16,2018,54078,City of Hayward,0.0,25.0,0.0,23.0,7.0,4.0,8.0,5.0,11.0,17.0,0.48,0.52,100.0
18,2018,50560,City of Oakland,4.0,37.0,0.0,9.0,12.0,2.0,9.0,4.0,8.0,15.0,0.5,0.5,100.0
19,2018,58357,City of West Hollywood,4.0,37.0,0.0,9.0,12.0,2.0,9.0,4.0,8.0,15.0,0.5,0.5,100.0
25,2018,58513,City of Medford,3.1,40.0,8.6,10.8,2.9,0.0,7.1,0.0,3.2,24.3,0.625,0.375,100.0
27,2018,73530,Town of Lexington,2.0,39.0,10.0,12.0,1.0,5.0,10.0,0.0,3.0,18.0,0.63,0.37,100.0
29,2018,1184,City of Austin,28.6,16.0,0.0,21.7,0.0,0.4,27.1,0.0,6.0,0.0,0.6643286573146292,0.3356713426853707,99.80000000000001
32,2018,54104,City of Boulder,46.0,25.0,0.0,0.0,4.0,0.0,23.0,0.0,2.0,0.0,0.71,0.29,100.0
33,2018,32550,City of Denver,46.0,25.0,0.0,0.0,4.0,0.0,23.0,0.0,2.0,0.0,0.71,0.29,100.0
34,2018,73295,City of La Crosse,29.8,12.1,0.0,29.2,6.3,0.0,18.3,0.0,0.0,4.3000000001,0.710999999999289,0.289000000000711,100.00000000009999
36,2018,49327,City of Providence,3.3,47.8,8.5,12.8,1.7,0.0,1.6,0.0,0.7,23.6,0.7239999999999999,0.276,100.0
38,2018,74508,City of Winona,29.0,16.0,0.0,30.0,7.0,3.0,15.0,0.0,0.0,0.0,0.75,0.25,100.0
39,2018,53959,City of Fayetteville,29.0,23.0,10.0,13.0,2.0,8.0,0.0,0.0,0.0,15.0,0.75,0.25,100.0
42,2018,54113,City of Flagstaff,25.0,26.0,0.0,26.0,0.0,0.0,4.0,0.0,7.0,12.0,0.77,0.23,100.0
43,2018,14344,City of Park City,61.96,15.4,0.0,0.0,5.18,0.43,7.1,0.38,0.08,9.47,0.7736000000000001,0.22640000000000005,99.99999999999999
44,2018,31177,Salt Lake City,61.96,15.4,0.0,0.0,5.18,0.43,7.1,0.38,0.08,9.47,0.7736000000000001,0.22640000000000005,99.99999999999999
45,2018,59535,Town of Vail,53.0,6.0,0.0,0.0,3.0,8.0,2.0,0.0,2.0,2.0,0.7763157894736842,0.2236842105263158,76.0
46,2018,43905,City of San Antonio,18.0,46.0,0.0,14.0,0.0,0.0,16.0,0.0,4.0,2.0,0.78,0.22,100.0
47,2018,10495,City of Las Vegas,7.09,75.18,0.0,0.0,0.0,0.32,2.08,6.5,12.43,0.07,0.7935757692678694,0.20642423073213081,103.66999999999999
48,2018,49335,Metropolitan Government of Nashville and Davidson County,24.0,20.0,0.0,37.0,9.0,0.0,1.5,0.0,1.5,7.0,0.81,0.19,100.0
50,2018,35268,City of Boston,1.6,48.4,0.7,30.8,8.4,6.0,3.2,0.0,0.9,0.0,0.8149999999999998,0.18499999999999997,100.00000000000001
51,2018,49339,City and County of Honolulu,18.4,0.0,63.34,0.0,0.0,5.11,2.56,0.0,0.71,9.88,0.8174000000000001,0.18259999999999998,100.0
52,2018,58668,City of New Bedford,2.4,49.8,0.6,30.4,5.3,8.2,2.5,0.0,0.7,0.1000000001,0.831999999999168,0.168000000000832,100.00000000009999
53,2018,54109,City of Bloomington,79.2,4.9,0.0,0.0,0.6,0.0,0.0,0.0,0.8,14.5,0.8410000000000001,0.159,100.0
55,2018,31108,City of Houston,25.9,48.2,0.0,10.8,0.3,0.3,13.7,0.0,0.2,0.6,0.8490000000000001,0.151,99.99999999999999
56,2018,54048,City of Knoxville,26.0,20.0,0.0,40.0,10.0,0.0,1.5,0.0,1.5,1.0,0.86,0.14,100.0
