Account Number,Account Name,Country,CDP Region,Parent Section,Question Number,Question Name,Column Number,Column Name,Row Number,Row Name,Response Answer,Comments,File Name
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,,,
63616,Abasan Al-Kabira Municipality,State of Palestine,Middle East,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,1,Coal,1,Energy consumption percentage,36.6,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,2,Gas,1,Energy consumption percentage,23,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,3,Oil,1,Energy consumption percentage,36,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,4,Nuclear,1,Energy consumption percentage,,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,5,Hydro,1,Energy consumption percentage,1.05,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,6,Biomass,1,Energy consumption percentage,,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,7,Wind,1,Energy consumption percentage,2.13,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,8,Geothermal,1,Energy consumption percentage,,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,9,Solar,1,Energy consumption percentage,0.07,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,10,Other sources,1,Energy consumption percentage,1.15,,
58485,Abington Township,United States of America,North America,Strategy,9,Please indicate the energy mix of electricity consumed in your city.,11,Total - please ensure this equals 100%,1,Energy consumption percentage,calculated field,,
