Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,RowName,Coal,Gas,Oil,Nuclear,Hydro,Biomass,Wind,Geothermal,Solar,Other sources,Total - please ensure this equals 100%,
Cities 2019,31155,City of Buenos Aires,Argentina,Latin America,,Energy,1,Percent,1,55,8,4,30,0.22,0.45,0,0.01,1.32,100,JS ARRAY
Cities 2019,60419,Municipalidad de Rio Grande,Argentina,Latin America,,Energy,1,Percent,0,100,0,0,0,0,0,0,0,0,100,
Cities 2019,839980,Municipalidad de Avellaneda,Argentina,Latin America,,Energy,1,Percent,3,53,33,3,4,,,,,4,100,
Cities 2019,31109,City of Melbourne,Australia,Southeast Asia and Oceania,,Energy,1,Percent,75,6.2,,,5.5,1,8.8,,3,0.5,100,
Cities 2019,31114,City of Sydney,Australia,Southeast Asia and Oceania,,Energy,1,Percent,62.7,19.6,2,0,6.3,1.4,4.9,0,3.1,,100,
Cities 2019,32480,City of Adelaide,Australia,Southeast Asia and Oceania,,Energy,1,Percent,0,51.3,0,0,0,0,39,0,8.2,1.5,100,
Cities 2019,53254,City of Hobart,Australia,Southeast Asia and Oceania,,Energy,1,Percent,,10,,,83,,10,,7,0,110,
Cities 2019,59969,City of Mandurah,Australia,Southeast Asia and Oceania,,Energy,1,Percent,47,11,22,,,,,14,2,4,100,
Cities 2019,60394,Gobierno Autónomo Municipal de Tarija,Bolivia (Plurinational State of),Latin America,,Energy,1,Percent,,60,38,,2,,,,,,100,
Cities 2019,31156,Municipality of Curitiba,Brazil,Latin America,,Energy,1,Percent,4.2,9.1,2.4,2.6,68.1,8.2,5.39,0,0.01,0,100,
Cities 2019,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,,Energy,1,Percent,3.2,8.6,2.4,2.5,66.6,8.5,7.6,0,0.5,0,99.9,
Cities 2019,31184,Prefeitura de São Paulo,Brazil,Latin America,,Energy,1,Percent,3.2,8.6,2.4,2.5,66.6,8.5,7.6,0,0.5,0.1,100,
Cities 2019,35848,Municipality of Belo Horizonte,Brazil,Latin America,,Energy,1,Percent,2.9,9.8,2.1,2.7,65.8,8.5,5.8,0,0,2.4,100,
Cities 2019,35865,Municipality of Fortaleza,Brazil,Latin America,,Energy,1,Percent,2.2,7.7,5.8,1.18,60.76,8.71,7.81,0,0.77,5.07,100,
Cities 2019,35872,Municipality of Recife,Brazil,Latin America,,Energy,1,Percent,0,18,23,0,11,3,4,0,0,41,100,
Cities 2019,35897,Municipality of Campinas,Brazil,Latin America,,Energy,1,Percent,2.6,11.3,4.4,2.4,70.6,7.6,1.1,0,0,0,100,
Cities 2019,42120,City of Salvador,Brazil,Latin America,,Energy,1,Percent,,,,,100,,,,,,100,
Cities 2019,42123,City of Goiânia,Brazil,Latin America,,Energy,1,Percent,0,0,8,0,90,0,0,0,0,2,100,
Cities 2019,50389,Prefeitura de Maceió,Brazil,Latin America,,Energy,1,Percent,,10,,,90,,,,,,100,
Cities 2019,51374,Prefeitura de Rio Branco,Brazil,Latin America,,Energy,1,Percent,,,100,,,,,,,,100,
Cities 2019,54625,Prefeitura de Londrina,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54633,Prefeitura de Lorena,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54651,Prefeitura de Santo André,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54652,Prefeitura de Osasco,Brazil,Latin America,,Energy,1,Percent,3,9,0,3,68,8,5,0,0,4,100,
Cities 2019,54697,Prefeitura Municipal de Cerquilho,Brazil,Latin America,,Energy,1,Percent,,,,,100,,,,,,100,
Cities 2019,54699,Prefeitura Municipal de Barueri,Brazil,Latin America,,Energy,1,Percent,0,0,0,0,100,0,0,0,0,0,100,
Cities 2019,54700,Prefeitura Municipal de Sumaré,Brazil,Latin America,,Energy,1,Percent,3,10,2,3,66,8,6,0,0,2,100,
Cities 2019,55380,Prefeitura Municipal de Cubatão,Brazil,Latin America,,Energy,1,Percent,0,31,28,0,40,0,0,1,0,0,100,
