Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,City-wide Emissions Inventory,Accounting Year,Inventory Boundary,Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC) ,Gases Included,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total generation of grid supplied energy ,Direct emissions/ Scope 1 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy/Scope 2 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total generation of grid supplied energy ,Emissions occurring outside city boundary/ Scope 3 (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy) ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Total Scope 3 emissions (metric tonnes CO2e),Total BASIC Emissions (GPC),Total BASIC+ Emissions (GPC),Chnage in emissions,Reason for change,​Land area (in square km),Population,Population Year,City Location,Last update
2019,832838,Town of Wellfleet,Wellfleet,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-07-01 - 2018-06-30,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,12422.55,7838.23,21526.21,20314.83,41786.99,,,,3500,2018,POINT (-70.031 41.9305),2020-05-01T03:57:57.217
2019,53829,"City of Kingston, ON",Kingston,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2",,,,,,,1149000,,,,,,,,124000,2016,,2020-05-01T03:57:57.217
2019,58531,"City of Somerville, MA",Somerville,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Please see Methods Memorandum attachment for full methodology,Yes,"CH4, CO2, N20",,467600,,124237,,26537,,,,,,Decreased,Change in weather conditions,,81562,2018,POINT (-71.0826 42.3934),2020-05-01T03:57:57.217
2019,43917,Sofia Municipality,Sofia,Bulgaria,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2015-01-01 - 2015-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"The inventory covers the following sectors: residential, municipal and tertiary buildings, equipment and facilities; manufacturing industries and construction; agriculture and forestry; fugitive emissionsfrom natural gas systems; road, railroad and aviation transport, waste management and waste water treatment. For each of the sectors identified in the methodology, the available data in the municipality of Sofia has been collected. Additional information from a large number of private and public organizations has also been obtained. The inventory covers all of the 24 districts of Sofia municipality.",No,"CH4, CO2, N20",,,,,,,2785108,,,5124843,,Decreased,,,1479902,2019,POINT (23.3219 42.6977),2020-05-01T03:57:57.217
2019,74673,İzmir Metropolitan Municipality,,Turkey,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2014-01-01 - 2014-12-31,Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,21869346,,,,,,,,,,,,,4320519,2018,,2020-05-01T03:57:57.217
2019,839980,Municipalidad de Avellaneda,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),La metodología utilizada es la sugerida por la Red Argentina de Municipios Contra el Cambio Climático de la cual la ciudad de Avellaneda forma parte.,Yes,"CH4, CO2, N20",521.96,1531934.8,,1446.5,,55751.8,,,,,,Do not know,Lack of documentation,,30446,2019,,2020-05-01T03:57:57.217
2019,52897,City of Aspen,Aspen,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),The inventory is also compliant with the guidelines that are laid out in the U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI).,No,"CH4, CO2, N20",,,,,,,186961,82643,35715,305319,,Decreased,Other: Electric utility generation mix changes toward renewable energy.,,9003,2017,POINT (-106.837 39.195),2020-05-01T03:57:57.217
2019,36410,City of Memphis,Memphis,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Larger – covers the whole city and adjoining areas,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",3633345,10895757,,6296158,,,,,,,,Increased,Change in accounting methodology,,650618,2018,POINT (-90.049 35.1495),2020-05-01T03:57:57.217
2019,54656,Prefeitura de Vinhedo,Vinhedo,Brazil,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,Same – covers entire city and nothing else,Other,"Para atender a essa necessidade, a iniciativa do GHG Protocol do World Resources Institute estabeleceu parceria internacional com a rede C40 Cities Climate Leadership Group e com o ICLEI — Governos Locais pela Sustentabilidade, que têm atuado fortemente em suas redes de cidades e governos locais para promover a integração da sustentabilidade em suas práticas e operações. O resultado dessa parceria é a ferramenta Global Protocol for Community-Scale GHG Emissions – GPC.Esta metodologia tem sido indicada como ideal em diversos fóruns nacionais e internacionais, pois trata-se de uma iniciativa pioneira que ambiciona a harmonização de várias metodologias de inventários, porém com um espectro específico para municípios, criando, assim, bases comparativas para a apresentação de resultados.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,33771.55,6469.04,,,This is our first year of calculation,,,77308,2019,POINT (-46.9838 -23.0307),2020-05-01T03:57:57.217
2019,73787,Tapalqué,,Argentina,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2016-01-01 - 2016-12-31,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,446872.6,,41691,,676.92,,,,,,Do not know,Lack of documentation,,9178,21,,2020-05-01T03:57:57.217
2019,50568,City of Saskatoon,Saskatoon,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Yes,2017-01-01 - 2017-12-31,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Basic+ guidelines followed,No,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,2133712,1232849,347331,,3713892,Decreased,Change in weather conditions,,272200,2019,POINT (-106.67 52.1332),2020-05-01T03:57:57.217
