Questionnaire Name,Account Number,Account Name,Country,CDP Region,ParentSection,Section,RowNumber,RowName,Coal,Gas,Oil,Nuclear,Hydro,Biomass,Wind,Geothermal,Solar,Other sources,Total - please ensure this equals 100%,Year data applies to
Cities 2020,1184,City of Austin,United States of America,North America,,Energy,1,Electricity source,26,13.5,0,23,0,1.6,28.4,0,7.5,,,2018
Cities 2020,1499,Ajuntament de Barcelona,Spain,Europe,,Energy,1,Electricity source,0,24.38,0.25,44.39,11.36,0.16,5.73,0,0.97,12.76,100,2018
Cities 2020,1850,Birmingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5,39.4,0,19.4,1.5,10.7,17.4,0,3.8,2.8,100,2018
Cities 2020,2185,Bristol City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,3.5,30.3,0.2,13.5,2.6,10,25.6,0,0,14.3,100,2020
Cities 2020,2430,City of Burlington,United States of America,North America,,Energy,1,Electricity source,0,0,0.1,0,35.8,36,27.8,0,0.3,0,100,
Cities 2020,3203,City of Chicago,United States of America,North America,,Energy,1,Electricity source,26,34,0,34,2,0,3,0,0,1,100,
Cities 2020,3417,New York City,United States of America,North America,,Energy,1,Electricity source,0.27,56.14,1.44,31.92,6.43,2.14,0.9,0,0.32,0.44,100,2019
Cities 2020,3422,Greater London Authority,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5.1,39.5,2.9,19.5,1.7,,17.1,0,3.9,10.4,,2018
Cities 2020,3429,City of Stockholm,Sweden,Europe,,Energy,1,Electricity source,3,2,0,21,53,6,10,,,5,,2018
Cities 2020,5871,Essex County Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5.1,39.5,0.3,19.5,1.65,10.51,17.18,0,3.87,2.39,100,2018
Cities 2020,8242,City of Helsinki,Finland,Europe,,Energy,1,Electricity source,7.5,5.9,0.3,34.7,18.6,18.1,9.1,0,0.3,5.5,100,2019
Cities 2020,10495,City of Las Vegas,United States of America,North America,,Energy,1,Electricity source,0,70.9,0,0,1.54,0.38,2.01,11.9,11.36,1.91,100,2019
Cities 2020,10894,City of Los Angeles,United States of America,North America,,Energy,1,Electricity source,18,31,0,10,8,1,10,4,11,7,100,
Cities 2020,11315,City of Manchester,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,35.4,28.2,1,22.3,1.3,4.7,5.3,0.8,1,0,100,2018
Cities 2020,13067,City of New Orleans,United States of America,North America,,Energy,1,Electricity source,2,51,0,34,0,0,0,0,0,13,100,
Cities 2020,13113,Newcastle City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,1.99,39.39,0.3,15.52,1.48,9.59,21.97,0,1.54,8.22,100,2019
Cities 2020,13506,Nottingham City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,5.26,39.38,0.5,19.49,2.38,9.61,17.1,0,3.87,2.41,100,2018
Cities 2020,14088,City of Oslo,Norway,Europe,,Energy,1,Electricity source,0,1,1,0,98,0,0,0,0,0,100,
Cities 2020,14344,"City of Park City, UT",United States of America,North America,,Energy,1,Electricity source,61.96,15.4,0,0,5.18,0.43,7.1,0.38,0.08,9.47,100,2016
Cities 2020,14874,"City of Portland, OR",United States of America,North America,,Energy,1,Electricity source,38.1,25.2,0.1,0.4,25,0.4,9.7,0.1,0.3,0.7,100,2016
Cities 2020,16581,City of Seattle,United States of America,North America,,Energy,1,Electricity source,0,0,0,5,86,1,7,0,0,1,100,2018
Cities 2020,17411,Southend on Sea Borough Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,0.2,49.47,0,0,0,1.83,0,0,0,48.5,100,2005
Cities 2020,19233,Município de Torres Vedras,Portugal,Europe,,Energy,1,Electricity source,10,40,10,0,20,10,4,1,1,4,100,2014
Cities 2020,20113,City of Vancouver,Canada,North America,,Energy,1,Electricity source,0,2,0,0,91,6,1,0,0,0,100,2018
Cities 2020,31009,City of Copenhagen,Denmark,Europe,,Energy,1,Electricity source,19,6,1,4,11,13,38,0,4,4,100,2018
Cities 2020,31051,Coventry City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,6,38,0,11,8.6,8.6,8.6,8.6,8.6,2,100,2019
Cities 2020,31052,City of Cardiff,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31056,Edinburgh City Council,United Kingdom of Great Britain and Northern Ireland,Europe,,Energy,1,Electricity source,3,26,0,12,4,9,13,0,27,6,100,2020
Cities 2020,31090,District of Columbia,United States of America,North America,,Energy,1,Electricity source,15.5,39.6,0.5,38.9,2,1.7,1,0,0.5,0.3,100,2018
Cities 2020,31108,City of Houston,United States of America,North America,,Energy,1,Electricity source,22.62,48.55,0.03,10,0.22,0.24,17.02,0,0.77,0.55,100,2018
Cities 2020,31109,City of Melbourne,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,75,6.2,,,5.5,1,8.8,,3,0.5,,2018
Cities 2020,31110,Roma Capitale,Italy,Europe,,Energy,1,Electricity source,,,,,,,,,,,,2018
Cities 2020,31111,Tokyo Metropolitan Government,Japan,East Asia,,Energy,1,Electricity source,20,58,2,,,,,,,20,,2018
Cities 2020,31112,Kaohsiung City Government,"Taiwan, Greater China",East Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31113,City of Yokohama,Japan,East Asia,,Energy,1,Electricity source,5,46,14,20,16,0,0,0,0,0,101,2017
Cities 2020,31114,City of Sydney,Australia,Southeast Asia and Oceania,,Energy,1,Electricity source,62.7,19.6,2,0,6.3,1.4,4.9,0,3.1,,,2019
Cities 2020,31115,City of Johannesburg,South Africa,Africa,,Energy,1,Electricity source,99.3,0,0,0,0,0.3,0,0,0.4,0,100,2019
Cities 2020,31117,City of Toronto,Canada,North America,,Energy,1,Electricity source,,29,,34,23,1,12,,1,,,2020
Cities 2020,31146,Addis Ababa City Administration,Ethiopia,Africa,,Energy,1,Electricity source,,,,,70,,10,10,10,,,2020
Cities 2020,31148,City of Amsterdam,Netherlands,Europe,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31149,City of Athens,Greece,Europe,,Energy,1,Electricity source,32.3,26.4,10.4,0,5.89,12.77,5.47,0.12,6.65,0,100,2018
Cities 2020,31150,Bangkok Metropolitan Administration,Thailand,Southeast Asia and Oceania,,Energy,1,Electricity source,17.7,60.2,0.1,0,6.2,6.6,2,0,5.6,1.6,100,2017
Cities 2020,31153,City of Berlin,Germany,Europe,,Energy,1,Electricity source,56,38,1,0,0,2,0,0,1,2,100,2017
Cities 2020,31154,Bogotá Distrito Capital,Colombia,Latin America,,Energy,1,Electricity source,3.6,9.33,0.1,,86.01,0.95,0.01,,0.01,,,2017
Cities 2020,31155,City of Buenos Aires,Argentina,Latin America,,Energy,1,Electricity source,0.33,57.7,1.77,5.92,27.49,0.41,3.73,0,0.6,2.05,100,2019
Cities 2020,31156,Municipality of Curitiba,Brazil,Latin America,,Energy,1,Electricity source,4.1,10.5,2.5,2.6,65.2,8.2,6.9,,,0,,2017
Cities 2020,31157,City of Delhi,India,South and West Asia,,Energy,1,Electricity source,58.11,27.9,,1.36,9.76,,,,2.87,2,,2020
Cities 2020,31163,Istanbul Metropolitan Municipality,Turkey,Europe,,Energy,1,Electricity source,28.4,37.8,1.6,0,25.8,0.7,4.4,1.3,0,0,100,
Cities 2020,31165,Stadt Heidelberg,Germany,Europe,,Energy,1,Electricity source,28.3,15.1,0.8,12.4,3.3,7.4,20.9,0,7.5,4.3,100,2019
Cities 2020,31166,Jakarta City Government,Indonesia,Southeast Asia and Oceania,,Energy,1,Electricity source,0,99.94,0.06,0,0,0,0,0,0,0,100,2019
Cities 2020,31167,City of Lagos,Nigeria,Africa,,Energy,1,Electricity source,,99,,,,,,,1,,,2020
Cities 2020,31168,City District Government Karachi,Pakistan,South and West Asia,,Energy,1,Electricity source,,,,,,,,,,,,
Cities 2020,31169,Government of Hong Kong Special Administrative Region,"China, Hong Kong Special Administrative Region",East Asia,,Energy,1,Electricity source,44,29.1,0.3,26.6,0,0,0,0,0,0,100,2020
Cities 2020,31170,Metropolitan Municipality of Lima,Peru,Latin America,,Energy,1,Electricity source,0,40,0,0,54,0,2,0,4,0,100,2019
Cities 2020,31171,Ayuntamiento de Madrid,Spain,Europe,,Energy,1,Electricity source,14.11,21.13,5.28,20.32,13.41,2.56,18.54,,4.64,,,
Cities 2020,31172,Mexico City,Mexico,Latin America,,Energy,1,Electricity source,31,48,21,0,0,0,0,0,0,0,100,2018
Cities 2020,31173,Comune di Milano,Italy,Europe,,Energy,1,Electricity source,10.4,44.9,3.7,0,11.6,6.2,5.7,2,7.8,7.7,100,
Cities 2020,31174,Moscow Government,Russian Federation,Europe,,Energy,1,Electricity source,0,99.25,0,0,0.12,0.2,,,0.02,0.38,,2018
Cities 2020,31175,City of Paris,France,Europe,,Energy,1,Electricity source,1.1,5.7,0.3,71.7,12.4,1.7,5.1,0,2,0,100,2018
Cities 2020,31176,Prefeitura do Rio de Janeiro,Brazil,Latin America,,Energy,1,Electricity source,2.2,7.5,0.8,2.6,71.1,4.8,9.6,0,0.9,0.5,100,2019
Cities 2020,31177,Salt Lake City,United States of America,North America,,Energy,1,Electricity source,58.89,10.57,0,0,7.09,0.37,8.56,0.39,3.54,10.59,100,
Cities 2020,31179,Gemeente Rotterdam,Netherlands,Europe,,Energy,1,Electricity source,86.6,8.2,0.5,0,0,3,1.5,0,0.1,0.1,100,2018
Cities 2020,31180,Región Metropolitana de Santiago,Chile,Latin America,,Energy,1,Electricity source,18.79,15.32,15.57,0,28.4,1.9,8.16,0.16,11.7,0,100,2020
